
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Agro Canal' | Normalizado: 'AGRO CANAL' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Agromais' | Normalizado: 'AGROMAIS' | EPG ID da lista: 'agromais.br'
  • Nome na API: 'Canal Brasil' | Normalizado: 'CANAL BRASIL' | EPG ID da lista: 'cnn.brasil.br'
  • Nome na API: 'Canal Brasil' | Normalizado: 'CANAL BRASIL' | EPG ID da lista: 'CANAL BRASIL HD'
  • Nome na API: 'Canal Brasil' | Normalizado: 'CANAL BRASIL' | EPG ID da lista: 'canal.brasil.br'
  • Nome na API: 'Canal Brasil' | Normalizado: 'CANAL BRASIL' | EPG ID da lista: 'CANAL BRASIL HD'
  • Nome na API: 'Canal Do Boi' | Normalizado: 'CANAL DO BOI' | EPG ID da lista: 'CANBOI'
  • Nome na API: 'Canal Rural' | Normalizado: 'CANAL RURAL' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Futura' | Normalizado: 'FUTURA' | EPG ID da lista: 'futura.br'
  • Nome na API: 'Futura' | Normalizado: 'FUTURA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Futura' | Normalizado: 'FUTURA' | EPG ID da lista: 'futura.br'
  • Nome na API: 'Futura' | Normalizado: 'FUTURA' | EPG ID da lista: 'futura.br'
  • Nome na API: 'Gazeta' | Normalizado: 'GAZETA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Gazeta SP' | Normalizado: 'GAZETA SP' | EPG ID da lista: 'gazeta.br'
  • Nome na API: 'Gazeta SP' | Normalizado: 'GAZETA SP' | EPG ID da lista: 'gazeta.br'
  • Nome na API: 'Gazeta SP' | Normalizado: 'GAZETA SP' | EPG ID da lista: 'São.Paulo/SP..Paramount.Network.HD..br'
  • Nome na API: 'Ge-fast' | Normalizado: 'GE FAST' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Globoplay Novelas' | Normalizado: 'GLOBOPLAY NOVELAS' | EPG ID da lista: 'viva.br'
  • Nome na API: 'Globoplay Novelas' | Normalizado: 'GLOBOPLAY NOVELAS' | EPG ID da lista: 'viva.br'
  • Nome na API: 'Globoplay Novelas' | Normalizado: 'GLOBOPLAY NOVELAS' | EPG ID da lista: 'viva.br'
  • Nome na API: 'Globoplay Novelas' | Normalizado: 'GLOBOPLAY NOVELAS' | EPG ID da lista: 'viva.br'
  • Nome na API: 'Globoplay Novelas' | Normalizado: 'GLOBOPLAY NOVELAS' | EPG ID da lista: 'viva.br'
  • Nome na API: 'Modo Viagem' | Normalizado: 'MODO VIAGEM' | EPG ID da lista: ''
  • Nome na API: 'Modo Viagem' | Normalizado: 'MODO VIAGEM' | EPG ID da lista: ''
  • Nome na API: 'Modo Viagem' | Normalizado: 'MODO VIAGEM' | EPG ID da lista: ''
  • Nome na API: 'Receitas Fast' | Normalizado: 'RECEITAS FAST' | EPG ID da lista: ''
  • Nome na API: 'Receitas Fast' | Normalizado: 'RECEITAS FAST' | EPG ID da lista: ''
  • Nome na API: 'Rede Brasil' | Normalizado: 'REDE BRASIL' | EPG ID da lista: 'Rede.Brasil.HD.br'
  • Nome na API: 'Redetv' | Normalizado: 'REDETV' | EPG ID da lista: 'RedeTV.br@SD'
  • Nome na API: 'Redetv' | Normalizado: 'REDETV' | EPG ID da lista: 'RedeTV.br@SD'
  • Nome na API: 'Redetv' | Normalizado: 'REDETV' | EPG ID da lista: 'RedeTV.br@SD'
  • Nome na API: 'Redetv Hd¹' | Normalizado: 'REDETV HD1' | EPG ID da lista: 'RedeTV.br@SD'
  • Nome na API: 'Redetv SP' | Normalizado: 'REDETV SP' | EPG ID da lista: 'br#rede-tv-sp'
  • Nome na API: 'Tcm Play Tv' | Normalizado: 'TCM PLAY TV' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Terra VIVA' | Normalizado: 'TERRA VIVA' | EPG ID da lista: 'terraviva.br'
  • Nome na API: 'Tv A Critica' | Normalizado: 'TV A CRITICA' | EPG ID da lista: ''
  • Nome na API: 'Tv Arapuan' | Normalizado: 'TV ARAPUAN' | EPG ID da lista: 'tv.arapuan.br'
  • Nome na API: 'Tv Brasil' | Normalizado: 'TV BRASIL' | EPG ID da lista: 'tv.brasil.br'
  • Nome na API: 'Tv Brasil' | Normalizado: 'TV BRASIL' | EPG ID da lista: 'tv.brasil.br'
  • Nome na API: 'Tv Brasil' | Normalizado: 'TV BRASIL' | EPG ID da lista: 'tvbrasil.br'
  • Nome na API: 'Tv Brasil' | Normalizado: 'TV BRASIL' | EPG ID da lista: 'TV.Brasil.HD.br'
  • Nome na API: 'Tv Camara' | Normalizado: 'TV CAMARA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura' | Normalizado: 'TV CULTURA' | EPG ID da lista: 'cultura.br'
  • Nome na API: 'Tv Cultura Do Pará' | Normalizado: 'TV CULTURA DO PARA' | EPG ID da lista: ''
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Diario' | Normalizado: 'TV DIARIO' | EPG ID da lista: 'tv.diario.br'
  • Nome na API: 'Tv Escola' | Normalizado: 'TV ESCOLA' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tv Ideal' | Normalizado: 'TV IDEAL' | EPG ID da lista: 'ideal.br'
  • Nome na API: 'Tv Justica' | Normalizado: 'TV JUSTICA' | EPG ID da lista: 'tvjustica.br'
  • Nome na API: 'Tv Miramar Tv Cultura' | Normalizado: 'TV MIRAMAR TV CULTURA' | EPG ID da lista: 'tv.mirante.sao.luis.br'
  • Nome na API: 'Tv Pampa RS' | Normalizado: 'TV PAMPA RS' | EPG ID da lista: 'globo.br'
  • Nome na API: 'Tv Ponta Verde' | Normalizado: 'TV PONTA VERDE' | EPG ID da lista: ''
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'tv.ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'ra.tim.bum.br'
  • Nome na API: 'Tv Ra Tim Bum' | Normalizado: 'TV RA TIM BUM' | EPG ID da lista: 'TV Rá Tim Bum'
  • Nome na API: 'Tv Senado' | Normalizado: 'TV SENADO' | EPG ID da lista: 'tv.senado.br'
  • Nome na API: 'Tv-tvchd-13-1' | Normalizado: 'TV TVCHD 13 1' | EPG ID da lista: ''
  • Nome na API: 'Tve' | Normalizado: 'TVE' | EPG ID da lista: 'a.e.br'
  • Nome na API: 'Tve Bahia' | Normalizado: 'TVE BAHIA' | EPG ID da lista: 'tve.bahia.br'

======================================================
CATEGORIA XTREAM: SPORTS (Total: 68 canais)
======================================================
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Band Sports' | Normalizado: 'BAND SPORTS' | EPG ID da lista: 'BandSports.br@SD'
  • Nome na API: 'Canal Goat' | Normalizado: 'CANAL GOAT' | EPG ID da lista: ''
  • Nome na API: 'Canal Goat 02' | Normalizado: 'CANAL GOAT 02' | EPG ID da lista: ''
  • Nome na API: 'Canal Goat 03' | Normalizado: 'CANAL GOAT 03' | EPG ID da lista: ''
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
  • Nome na API: 'Combate' | Normalizado: 'COMBATE' | EPG ID da lista: 'br#combate'
